epoch,lr,train_threshold,train_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_roc_auc,train_pr_auc,train_ppv,train_npv,train_balanced_accuracy,train_tn,train_fp,train_fn,train_tp,train_loss,val_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_roc_auc,val_pr_auc,val_ppv,val_npv,val_balanced_accuracy,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.0008,0.5,0.6890845510178594,0.3972746331236897,0.7355142777931799,0.6755863625372773,0.5158969372873117,0.7730290070070311,0.4685572564264794,0.3972746331236897,0.8978149100257069,0.7055503201652287,8382,4025,954,2653,0.8880906961779179,0.5,0.6818521284540702,0.4115755627009646,0.810126582278481,0.6422287390029325,0.5458422174840085,0.8077075367806279,0.5614987845613687,0.4115755627009646,0.9163179916317992,0.7261776606407068,657,366,60,256,0.8676941929867767
2,0.0008,0.5,0.7381041588609967,0.45260778298078475,0.7771000831716107,0.7267671475779802,0.5720408163265306,0.8271352223447914,0.5735952075615781,0.45260778298078475,0.9181346095102332,0.7519336153747955,9017,3390,804,2803,0.7919829392814303,0.5,0.7759522031366691,0.5187793427230047,0.6993670886075949,0.7996089931573802,0.5956873315363881,0.8080911194426916,0.5439762575843214,0.5187793427230047,0.895947426067908,0.7494880408824875,818,205,95,221,0.8987122941497905
3,0.0008,0.5,0.7465342825028101,0.4637006103437199,0.800388134183532,0.7308777303135326,0.5872063459778297,0.8465817844452218,0.6226049741323924,0.4637006103437199,0.9264405394360441,0.7656329322485323,9068,3339,720,2887,0.7503746909060192,0.5,0.6467513069454817,0.391123439667129,0.8924050632911392,0.570869990224829,0.5438765670202508,0.8143398047440513,0.537579294716538,0.391123439667129,0.9449838187702265,0.7316375267579841,584,439,34,282,0.849367330686827
4,0.0008,0.5,0.7514050206069689,0.4699550128534704,0.8109232048794012,0.7341017167727896,0.595056454073848,0.8573642851526194,0.6359646765619256,0.4699550128534704,0.9303370786516854,0.7725124608260954,9108,3299,682,2925,0.7249664726798657,0.5,0.6333084391336818,0.37727910238429174,0.8512658227848101,0.5659824046920822,0.5228377065111759,0.7875539799794598,0.5066991464280849,0.37727910238429174,0.9249201277955271,0.7086241137384461,579,444,47,269,0.8929602961383531
5,0.0008,0.5,0.7659547895591358,0.4884369361981302,0.8256168561131134,0.7486096558394455,0.613767518549052,0.8707638839061871,0.6583068851850488,0.4884369361981302,0.9365735605525864,0.7871132559762795,9288,3119,629,2978,0.6915717085857613,0.5,0.7236743838685586,0.45036764705882354,0.7753164556962026,0.70772238514174,0.5697674418604651,0.8070672012076667,0.5422409741234194,0.45036764705882354,0.9106918238993711,0.7415194204189712,724,299,71,245,0.8468573885768808
6,0.0008,0.5,0.7780067440989135,0.5042428198433421,0.8566675907956751,0.7551382284194407,0.6348228043143297,0.8862780562293361,0.6813634854666782,0.5042428198433421,0.9477038235889136,0.8059029096075578,9369,3038,517,3090,0.6505032077373987,0.5,0.7796863330843914,0.5275590551181102,0.6360759493670886,0.8240469208211144,0.5767575322812052,0.8173404110521301,0.5607227434388433,0.5275590551181102,0.8799582463465553,0.7300614350941015,843,180,115,201,0.8712648457337708
7,0.0008,0.5,0.796303234669664,0.5294821398051615,0.8588855004158581,0.7781091319416459,0.6551067879044196,0.8970627914712911,0.703736201185819,0.5294821398051615,0.9499163632785594,0.818497316178752,9654,2753,509,3098,0.6201159524101733,0.5,0.772218073188947,0.5157593123209169,0.569620253164557,0.8347996089931574,0.5413533834586466,0.8014835987477882,0.5417987633475629,0.5157593123209169,0.8626262626262626,0.7022099310788572,854,169,136,180,1.0731777046668698
8,0.0008,0.5,0.8113525665043088,0.5518951470067305,0.8638757970612697,0.7960828564520029,0.6735112936344969,0.9101771854066392,0.7414686013930847,0.5518951470067305,0.9526427469135802,0.8299793267566363,9877,2530,491,3116,0.5819767489591996,0.5,0.7109783420463032,0.42332613390928725,0.620253164556962,0.7390029325513197,0.503209242618742,0.7640842891965799,0.46811929063119373,0.42332613390928725,0.863013698630137,0.6796280485541408,756,267,120,196,0.972456343588854
9,0.0004,0.5,0.8286499313101037,0.5786404228175688,0.8802328805101192,0.8136535826549528,0.6982625907191555,0.9245231654085828,0.7733546766265534,0.5786404228175688,0.9589626674266173,0.846943231582536,10095,2312,432,3175,0.5342923925880846,0.5,0.40253920836445106,0.2775735294117647,0.9556962025316456,0.2316715542521994,0.4301994301994302,0.6734474182412116,0.3463489974806862,0.2775735294117647,0.9442231075697212,0.5936838783919225,237,786,14,302,1.5941181221143623
10,0.0004,0.5,0.8767953041089047,0.6639245585874799,0.9173828666481841,0.8649955670186186,0.7703410545920149,0.9582276333313812,0.8705327469873123,0.6639245585874799,0.9729827742520399,0.8911892168334014,10732,1675,298,3309,0.39933289223668933,0.5,0.7692307692307693,0.5093833780160858,0.6012658227848101,0.8211143695014663,0.5515239477503628,0.8052451835628643,0.5523548991858731,0.5093833780160858,0.8695652173913043,0.7111900961431382,840,183,126,190,1.1793712212400174
11,0.0004,0.5,0.9109529161983264,0.7379445777874755,0.9376212919323538,0.9031998065608124,0.8258852258852258,0.9764241074190815,0.9255025113914725,0.7379445777874755,0.9803166827049252,0.920410549246583,11206,1201,225,3382,0.3006155418928336,0.5,0.7610156833457804,0.4945652173913043,0.5759493670886076,0.8181818181818182,0.5321637426900585,0.7960639469418563,0.5193884752991462,0.4945652173913043,0.8619979402677652,0.697065592635213,837,186,134,182,1.3368948251565416
